Run case 1
HPWL, seed
83283,661
84134,657
81242,665
80551,663
82715,704
85971,660
84769,658
83013,669
81242,665
83542,710
82161,668
84134,657
81981,670
84580,653
85971,660
82161,668
83283,661
83709,700
82532,673
82830,664
82830,664
83195,659
83562,721
83317,675
82553,692
82056,705
81083,694
82048,745
83538,743
82175,728
83857,748
81539,742
81539,742
83914,731
83538,743
82890,800
80577,791
81088,788
84451,853
84697,865
82831,896
81578,933
81720,904
82658,1012
83046,1003
81782,1102
81855,1124
81522,1253
84851,1264
80815,1245
83035,1255
83728,1239
80924,1232
82834,1250
81971,1229
84704,1235
79431,1225
81603,1415
84516,1401
85276,1363
83071,1636
83141,1622
85516,1650
81657,1628
83241,1634
82538,1598
81112,1626
81120,1619
83998,1621
83568,1611
83789,1625
82852,1613
82620,1630
86718,1609
83789,1625
84982,1620
82636,1617
83253,1606
83397,1647
83792,1631
82344,1637
81112,1626
82852,1613
83316,1648
83792,1631
81879,1588
83789,1625
83344,1615
82538,1598
81138,1629
83568,1611
84690,1616
83344,1615
83340,1632
83141,1622
81120,1619
83381,1595
79832,1640
82585,1642
83344,1615
83783,1599
82535,1635
82268,1657
85498,1672
83568,1611
82715,1596
83218,1614
81138,1629
81657,1628
82344,1637
82044,1612
82044,1612
82538,1598
81692,1623
81120,1619
83280,1590
83789,1625
83344,1615
83998,1621
82535,1635
83738,1601
81120,1619
81138,1629
83568,1611
82535,1635
80563,1608
82620,1630
84690,1616
81413,1603
82852,1613
80563,1608
82636,1617
84982,1620
83344,1615
82636,1617
82636,1617
82266,1575
83599,1646
80563,1608
83792,1631
81413,1603
81692,1623
83568,1611
82344,1637
82044,1612
81112,1626
81657,1628
81692,1623
82301,1633
81692,1623
82010,1600
83141,1622
84717,1593
82812,1684
84276,1627
81118,1605
81118,1605
83789,1625
82636,1617
81351,1607
81184,1644
83578,1641
86718,1609
82675,1901
82468,2380
81283,3523
84273,3952
84493,4036
84270,4067
82887,3984
80427,3964
83265,3975
81220,3977
83050,3969
82793,2729
82129,2779
81434,2738
84266,2759
82085,2758
82597,2791
81022,2740
81231,2784
82606,2750
83185,2800
84024,674
83343,662
83138,671
82830,664
83444,708
82177,672
82830,664
83857,748
82161,668
84134,657
80551,663
85971,660
79999,734
81716,666
85971,660
82816,655
80551,663
81787,724
81716,666
83195,659
82161,668
84134,657
81716,666
83343,662
83013,669
85971,660
81716,666
82830,664
80551,663
81704,654
82256,720
80727,667
85971,660
80727,667
82816,655
85074,727
83138,671
80551,663
81716,666
81704,654
84769,658
81981,670
82830,664
82549,699
81242,665
80551,663
81716,666
83301,656
83542,710
80551,663
83013,669
80727,667
82816,655
81665,696
81242,665
83343,662
84884,676
81242,665
85971,660
83013,669
84134,657
83542,710
82532,673
80551,663
80727,667
82643,650
83542,710
83138,671
80551,663
80727,667
85971,660
80551,663
80551,663
81912,651
81787,724
80727,667
80551,663
82177,672
84134,657
83899,733
82161,668
82161,668
82161,668
84769,658
82546,722
81716,666
84769,658
82532,673
82816,655
84134,657
81981,670
80551,663
81865,712
83317,675
81242,665
81716,666
83195,659
79989,718
82830,664
83195,659
81716,666
80551,663
83385,714
81242,665
81981,670
81242,665
82177,672
81912,651
82177,672
81242,665
83715,725
80727,667
81716,666
82830,664
84134,657
82279,707
81981,670
83283,661
82177,672
82816,655
81396,706
83013,669
83301,656
83286,677
83343,662
84134,657
82830,664
82830,664
82056,705
81242,665
82830,664
81716,666
81716,666
84801,750
81242,665
85971,660
81704,654
80727,667
82161,668
80727,667
81704,654
80727,667
80551,663
81980,729
84769,658
84942,634
83286,677
84769,658
84580,653
80727,667
85971,660
81665,696
81396,706
82546,722
82396,783
82408,740
83538,743
84707,736
82204,760
82048,745
82456,747
84801,750
81490,738
82724,741
84497,744
82056,705
83364,749
81985,752
84801,750
84801,750
84497,744
84707,736
83047,746
84707,736
84801,750
83047,746
82408,740
83857,748
82456,747
82048,745
83899,733
83857,748
83857,748
86524,755
81539,742
84497,744
84707,736
82232,758
82048,745
82456,747
86524,755
82841,735
81539,742
79999,734
84731,798
83223,787
84655,793
83375,838
82656,866
83089,879
81578,933
80222,912
84273,999
83360,997
83785,1128
80072,1098
82759,1234
82101,1287
83240,1395
82361,1597
83738,1601
83491,1585
81120,1619
82715,1596
79963,1760
80552,1984
82232,1884
81685,1881
83087,1906
82987,1948
82675,1901
82400,1874
82400,1874
84048,1878
84296,1909
82400,1874
83891,1921
79719,1899
82206,1887
83891,1921
81832,1892
82076,1993
81465,1875
83491,1868
83219,1872
82963,1913
82675,1901
85205,1925
83557,1905
81852,1871
79843,1910
84048,1878
83491,1868
81846,1882
84327,2000
85423,1890
83087,1906
84132,1894
82252,1843
82751,1998
81832,1892
79719,1899
85423,1890
81846,1882
81939,1886
84354,1891
83531,1917
84049,1861
85172,1869
79719,1899
84048,1878
79964,1907
83926,1902
82809,1898
83891,1921
82269,1897
85232,1880
79719,1899
82615,1865
82232,1884
78894,1879
82088,1903
83896,1904
82232,1884
79964,1907
81734,1867
79964,1907
84048,1878
84048,1878
82861,1885
82189,1934
82232,1884
83557,1905
82610,1889
83115,1870
83926,1902
83526,1888
81846,1882
85116,1908
82232,1884
83305,1920
82232,1884
82206,1887
82610,1889
81506,1900
81465,1875
83281,1864
82611,1876
82751,1998
81832,1892
81939,1886
82269,1897
78894,1879
83526,1888
83896,1904
83087,1906
79977,1911
83526,1888
84342,1942
79935,1896
82119,1946
81846,1882
81685,1881
81734,1867
84354,1891
81372,1979
84132,1894
83819,1873
83274,1883
83282,1914
83819,1873
83115,1870
81939,1886
